"Date","Cell","Animal","Depth","t_incub","Place","Rp","Em1","Em2","Diff","Rm1","Rm2","Rs1","Rs2","Rt1","Rt2","Rs2.Rs1","PercgBa","Blockade_ratio","slope_ratio","ZT","Group","Count","Notes","cell_number","cell_order","Rectification"
"02032023","Cell2",6,66,26,"VH",6.6,-68,-67,1,1.18,4.409,17.544,20.161,18.727,24.57,1.15,0.14,0.848,0.27002713721306,"8","Control",NA,"","2","2","FALSE"
"02032023","Cell4",6,66,41,"VH",7,-62,-60,2,3.91,3.378,13.947,14.903,17.857,18.282,1.07,0.165,0.838,0.723676385594768,"8","Control",NA,"","4","4","TRUE"
"02042024","Cell2",8,59,48,"DH",5,-59,-51,8,1.32,5.815,14.085,16.26,15.408,22.075,1.15,0.269,0.942,0.833343811053229,"8","Control",36,"","2","1","TRUE"
"06122022","Cell4",4,60,40,"DH",5.5,-65,-57,8,1.06,4.06,11.765,12.579,12.821,16.639,1.07,0.25,1.631,0.89527136465008,"3","Control",71,"Sham","4","3","TRUE"
"06122022","Cell5",4,60,40,"VH",4.9,-55,-45,10,1.69,3.415,17.036,19.841,18.727,23.256,1.16,0.115,0.462,1.08788832530513,"3","Control",NA,"Sham","5","4","TRUE"
"07112022","Cell2",1,67,23,"DH",6.6,-59,-45,14,3.43,10.937,16.026,15.873,19.455,26.81,0.99,0.305,3.539,5.40980507257784,"3","Control",90,"","2","1","TRUE"
"07112022","Cell4",1,66,40,"VH",6.1,-63,-56,7,1.68,3.887,12.837,12.92,14.514,16.807,1.01,0.1,0.8,0.623797102425152,"3","Control",77,"","4","3","FALSE"
"08112022","Cell2",2,64,42,"DH",5.5,-59,-40,19,3.41,26.889,19.011,19.194,22.422,46.083,1.01,0.483,2.088,1.87824292911619,"3","Control",11,"","2","1","TRUE"
"08112022","Cell3",2,60,30,"VH",5.5,-58,-55,3,0.83,4.847,12.987,13.106,13.812,17.953,1.01,0.2,1.108,1.17248213723457,"3","Control",45,"","3","2","TRUE"
"08112022","Cell4",2,40,32,"VH",5.5,-65,-57,8,1.61,12.981,16.313,15.267,17.921,28.249,0.94,0.47,4.616,2.64248003689276,"3","Control",12,"","4","3","TRUE"
