ZT,Region,Rise_time,Slope,Peak
3,VH,0.705629,2.494225265,2.717700005
3,VH,0.620446252,2.59604444,2.508990049
3,VH,0.629538793,4.23525026,4.324560165
3,VH,0.63432434,3.860466979,3.906310081
3,VH,0.225638572,10.70403553,3.76041007
3,VH,0.218938805,10.1240366,3.406080008
3,VH,0.554166417,3.900060932,3.535900116
3,VH,0.428785069,5.401002836,3.690720081
3,VH,0.543638213,5.710185585,4.865310192
3,VH,0.516839146,5.487635806,4.420209885
3,VH,1.228450081,0.572166272,1.062620044
3,VH,1.014775378,0.500127348,0.779586017
3,VH,1.49452653,0.617423426,1.400390029
3,VH,1.574445176,0.500762574,1.18900001
3,DH,0.725010468,0.842390293,0.948117018
3,DH,0.704193336,0.928974813,1.023460031
3,DH,1.010468385,0.96029468,1.53718996
3,DH,0.957827361,0.993778622,1.534309983
3,DH,1.117425375,0.744183292,1.293429971
3,DH,1.135131902,0.650918134,1.18385005
3,DH,0.368726446,2.408889663,1.634320021
3,DH,0.822874918,1.28419529,1.713129997
3,DH,1.371298678,1.072444351,2.385659933
3,DH,1.893401926,0.815064813,2.529589891
3,DH,1.125082252,0.53130725,0.920868993
3,DH,1.2303643,0.451441051,0.853322029
3,DH,0.753005922,1.528525781,1.721879959
3,DH,0.695100796,1.557590058,1.66158998
3,DH,1.091104863,0.6210356,1.07931006
3,DH,0.998983071,0.608966308,0.96282202
8,DH,3.472393372,0.185092984,1.020990014
8,DH,3.883711192,0.136309788,0.778042018
8,DH,1.548124664,0.800998327,2.074529886
8,DH,1.914458336,0.596347922,1.697340012
8,DH,1.207872226,1.003210111,1.948079944
8,DH,1.329425136,0.84663231,1.780079961
8,DH,4.04665909,0.049396889,0.382584006
8,DH,1.447628163,0.092193888,0.230825007
8,DH,0.733145899,3.729992655,4.076010227
8,DH,0.623317581,3.813503328,3.98112011
8,DH,1.0822516,1.378558636,2.358109951
8,DH,0.880540767,1.564372979,2.282160044
8,DH,0.830771071,2.831137239,3.523600101
8,DH,0.807082611,2.820058469,3.471349955
8,DH,0.979840881,0.516664754,0.772647977
8,DH,0.953759646,0.435075909,0.726446986
8,DH,1.14900999,1.143928798,2.000880003
8,DH,1.171262786,1.04947932,1.851780057
8,VH,0.802057785,4.329468257,5.366690159
8,VH,2.027875815,1.243465467,3.859240055
8,VH,1.11886104,0.483519959,0.889104009
8,VH,1.307411617,0.414151137,0.942713022
8,VH,1.137285398,3.08089945,5.478769779
8,VH,1.141831668,3.12109633,5.471650124
8,VH,0.607046719,1.239530296,1.149039984
8,VH,0.43787761,1.453289195,1.066660047
8,VH,0.520667584,4.4469043,3.760050058
8,VH,0.456780523,4.625844206,3.387650013
8,VH,0.352216307,3.290405565,1.878980041
8,VH,0.459651851,2.610816134,1.937100053
8,VH,0.972423282,3.216100285,4.525370121
8,VH,0.817610815,3.188441042,4.105840206
8,VH,2.734701202,0.252216982,1.154659986
8,VH,3.037865646,0.235873373,1.155439973
8,VH,1.267930849,0.659805913,1.359910011
8,VH,0.860441467,1.175210982,1.516849995
15,DH,1.41771849,0.347796947,1.009629965
15,DH,1.706765568,0.353745461,0.99238801
15,DH,0.814260932,1.062980562,1.364480019
15,DH,0.659687743,1.26088573,1.311130047
15,DH,0.770473171,2.931158402,3.656769991
15,DH,0.499132619,4.585781908,3.629810095
15,DH,0.550577257,2.404733779,2.305850029
15,DH,0.59962912,2.388987713,2.313960075
15,DH,0.562541126,6.692793921,5.912350178
15,DH,0.474487049,8.640746444,6.364640236
15,DH,0.74128133,2.392433006,3.049580097
15,DH,0.833881677,2.109563683,2.835639954
15,DH,0.6252318,1.56478749,1.622429967
15,DH,0.653945086,1.961588347,1.852499962
15,DH,1.430160914,0.990672475,2.408139944
15,DH,1.360291918,0.433121782,0.94809401
15,DH,1.360770473,0.46948039,0.994315982
15,DH,1.014536101,0.94834382,1.494600058
15,DH,1.026739247,0.886393145,1.397490025
15,VH,0.690793803,4.917918922,5.721099854
15,VH,0.65992702,5.203749044,5.614970207
15,VH,0.988454866,2.506719835,4.057300091
15,VH,0.973858946,2.579404752,3.906630039
15,VH,0.278279596,6.229719622,2.655479908
15,VH,0.2888078,5.741263205,2.745110035
15,VH,0.665191123,2.803607195,3.094939947
15,VH,0.601782616,3.264996529,3.110790014
15,VH,0.975533888,2.709884458,4.26240015
15,VH,1.009989831,2.734033809,4.437880039
15,VH,0.786504756,1.283183235,1.786689997
15,VH,0.972423282,1.183129773,1.639600039
15,VH,0.365855118,7.10566384,4.007040024
15,VH,0.404378776,5.870962337,3.732170105
15,VH,1.11240055,1.527465277,2.334110022
15,VH,0.723574804,1.736056236,1.974220037
15,VH,1.119818149,0.859239929,1.549510002
15,VH,1.095890411,0.747122558,1.279500008
15,VH,1.191122809,0.812776923,1.490039945
15,VH,1.313393551,0.828275358,1.67798996
